Components List
0	1	0	09010000	0	0	240	240	1004	1514	Image/Icon
1	2	0	0e8a8500	118	194	7	130	59114	59174	Steps no
2	2	0	0e8a8500	111	194	7	130	59114	59174	Steps no
3	2	0	0e8a8500	104	194	7	130	59114	59174	Steps no
4	2	0	0e8a8500	96	194	7	130	59114	59174	Steps no
5	2	0	0e8a8500	89	194	7	130	59114	59174	Steps no
6	3	0	0f8a8400	146	168	7	130	59114	59174	Calories no
7	3	0	0f8a8400	139	168	7	130	59114	59174	Calories no
8	3	0	0f8a8400	132	168	7	130	59114	59174	Calories no
9	3	0	0f8a8400	124	168	7	130	59114	59174	Calories no
10	4	0	09010000	0	0	0	0	0	0	Image/Icon
11	5	1	0c020082	128	194	37	13	60084	60432	Sleep label
12	5	2	0c020082	128	194	37	13	60913	60979	Sleep label
13	6	0	108a8300	104	168	7	130	59114	59174	Heart Rate no
14	6	0	108a8300	96	168	7	130	59114	59174	Heart Rate no
15	6	0	108a8300	89	168	7	130	59114	59174	Heart Rate no
16	7	0	0b8a0300	172	168	7	130	59114	59174	Battery no
17	7	0	0b8a0300	165	168	7	130	59114	59174	Battery no
18	7	0	0b8a0300	160	168	7	130	59114	59174	Battery no
19	8	0	09010000	180	168	10	13	61460	61598	Image/Icon
20	9	0	0b870000	162	147	26	140	61728	61760	Battery no
21	10	1	06870082	42	118	80	91	65400	65464	Weekday label
22	10	2	06870082	44	120	66	91	72744	72806	Weekday label
23	11	0	028a8200	120	120	7	130	59114	59174	Date no
24	11	0	028a8200	113	120	7	130	59114	59174	Date no
25	12	0	09010000	0	0	0	0	0	0	Image/Icon
26	13	1	038c0082	140	118	56	156	78812	78874	Month no
27	13	2	038c0082	128	120	66	156	87610	87670	Month no
28	14	0	008a8200	74	53	41	800	97966	98012	Hour no
29	14	0	008a8200	33	53	41	800	97966	98012	Hour no
30	15	0	018a8200	165	53	41	800	97966	98012	Minute no
31	15	0	018a8200	124	53	41	800	97966	98012	Minute no
32	16	0	16060000	60	168	6	1	65535	0	Weather no
33	16	0	16060000	52	168	6	1	65535	0	Weather no
34	16	0	168ac200	60	168	7	130	59114	59174	Weather no
35	16	0	168ac200	52	168	7	130	59114	59174	Weather no
36	16	0	16018000	67	168	10	13	130812	130864	Weather no
37	16	0	16002000	46	174	4	1	65535	0	Weather no
38	17	0	09010000	0	0	0	0	0	0	Image/Icon
39	18	0	09010000	0	0	0	0	0	0	Image/Icon
40	19	0	170a0000	0	0	0	0	0	0	Weather label
41	19	0	17090000	50	146	26	20	130994	131044	Weather label
42	19	0	17090000	50	146	26	20	131564	131896	Weather label
43	19	0	17090000	50	146	26	20	132416	132794	Weather label
44	19	0	17090000	50	146	26	20	133314	133604	Weather label
45	19	0	17090000	50	146	26	20	134124	134360	Weather label
46	19	0	17090000	50	146	26	20	134880	135182	Weather label
47	19	0	17090000	50	146	26	20	135702	136068	Weather label
48	19	0	17090000	50	146	26	20	136588	136764	Weather label
49	19	0	17090000	50	146	26	20	137284	137692	Weather label
