Components List
0	1	0	fd84000a	0	0	240	960	264	774	Animation
1	2	0	09010000	115	40	8	25	232268	232286	Image/Icon
2	3	0	008a8200	78	30	25	450	232486	232520	Hour no
3	3	0	008a8200	43	30	25	450	232486	232520	Hour no
4	4	0	018a8200	169	30	25	450	232486	232520	Minute no
5	4	0	018a8200	134	30	25	450	232486	232520	Minute no
6	5	0	09010000	88	89	6	2	231174	231182	Image/Icon
7	6	0	038a8200	79	83	8	130	231194	231228	Month no
8	6	0	038a8200	70	83	8	130	231194	231228	Month no
9	7	0	028a8200	104	83	8	130	231194	231228	Date no
10	7	0	028a8200	95	83	8	130	231194	231228	Date no
11	8	1	06870082	134	83	40	98	243770	243804	Weekday label
12	8	2	06870082	135	83	38	98	247724	247758	Weekday label
