Components List
0	1	0	09010000	0	0	240	240	384	892	Image/Icon
1	2	0	028a8200	59	54	9	120	59716	59750	Date no
2	2	0	028a8200	49	54	9	120	59716	59750	Date no
3	3	0	008a8200	144	38	68	760	62316	62350	Hour no
4	3	0	008a8200	87	38	68	760	62316	62350	Hour no
5	4	0	018a8200	169	129	55	660	114030	114196	Minute no
6	4	0	018a8200	112	129	55	660	114030	114196	Minute no
7	5	0	170a0000	0	0	0	0	0	0	Weather label
8	5	0	17090000	41	169	34	29	58492	58730	Weather label
9	5	0	17090000	41	169	38	38	157828	158104	Weather label
10	5	0	17090000	41	169	39	34	156106	156502	Weather label
11	5	0	17090000	41	169	38	33	153152	153424	Weather label
12	5	0	17090000	41	169	38	27	151838	152126	Weather label
13	5	0	17090000	41	169	39	28	154678	155014	Weather label
14	5	0	17090000	41	169	43	31	165314	165622	Weather label
15	5	0	17090000	41	169	38	32	60830	61100	Weather label
16	5	0	17090000	41	169	39	24	150496	150902	Weather label
17	6	1	06870082	45	40	29	98	159548	159582	Weekday label
18	6	2	06870082	43	40	34	84	162424	162458	Weekday label
