Components List
0	1	0	09010000	0	0	240	240	1816	2324	Image/Icon
1	2	0	fd8b000a	202	88	24	990	61342	61768	Animation
2	2	0	fd8b000a	14	88	24	990	85528	85954	Animation
3	3	1	08820082	41	140	22	26	564	610	AM/PM label
4	3	2	08820082	41	140	22	26	1182	1244	AM/PM label
5	4	1	08820082	180	140	23	26	109714	109734	AM/PM label
6	4	2	08820082	180	140	20	26	110332	110354	AM/PM label
7	5	0	09010000	117	60	5	2	59924	59932	Image/Icon
8	6	0	078a8400	107	54	9	130	59942	60172	Year no -
9	6	0	078a8400	98	54	9	130	59942	60172	Year no -
10	6	0	078a8400	89	54	9	130	59942	60172	Year no -
11	6	0	078a8400	80	54	9	130	59942	60172	Year no -
12	7	0	09010000	142	60	5	2	59924	59932	Image/Icon
13	8	0	038a8200	132	54	9	130	59942	60172	Month no
14	8	0	038a8200	123	54	9	130	59942	60172	Month no
15	9	0	028a8200	157	54	9	130	59942	60172	Date no
16	9	0	028a8200	148	54	9	130	59942	60172	Date no
17	10	0	0e8a8500	149	172	11	160	110874	111226	Steps no
18	10	0	0e8a8500	138	172	11	160	110874	111226	Steps no
19	10	0	0e8a8500	127	172	11	160	110874	111226	Steps no
20	10	0	0e8a8500	116	172	11	160	110874	111226	Steps no
21	10	0	0e8a8500	105	172	11	160	110874	111226	Steps no
22	11	0	008a8200	89	94	22	460	112986	113494	Hour no
23	11	0	008a8200	62	94	22	460	112986	113494	Hour no
24	12	0	018a8200	154	94	22	460	112986	113494	Minute no
25	12	0	018a8200	127	94	22	460	112986	113494	Minute no
26	13	1	06870082	102	14	36	91	123614	123810	Weekday label
27	13	2	06870082	87	14	66	91	127086	127284	Weekday label
