Components List
0	1	0	09010000	0	0	240	240	424	922	Image/Icon
1	2	0	19010000	177	91	10	2	65535	0	Solid color
2	3	1	06870082	147	156	50	140	94526	94560	Weekday label
3	3	2	06870082	116	157	112	119	101560	101594	Weekday label
4	4	1	038c0082	118	81	57	216	60206	60240	Month no
5	4	2	038c0082	130	82	45	180	72552	72586	Month no
6	5	0	108a8300	153	40	11	150	58522	58556	Heart Rate no
7	5	0	108a8300	142	40	11	150	58522	58556	Heart Rate no
8	5	0	108a8300	131	40	11	150	58522	58556	Heart Rate no
9	6	0	0e8a8500	170	191	11	150	58522	58556	Steps no
10	6	0	0e8a8500	159	191	11	150	58522	58556	Steps no
11	6	0	0e8a8500	148	191	11	150	58522	58556	Steps no
12	6	0	0e8a8500	137	191	11	150	58522	58556	Steps no
13	6	0	0e8a8500	126	191	11	150	58522	58556	Steps no
14	7	0	09010000	166	117	8	30	80686	80718	Image/Icon
15	8	0	008a8200	138	102	26	450	82792	82826	Hour no
16	8	0	008a8200	110	102	26	450	82792	82826	Hour no
17	9	0	018a8200	204	102	26	450	82792	82826	Minute no
18	9	0	018a8200	176	102	26	450	82792	82826	Minute no
19	10	0	028a8200	199	82	10	180	80958	80992	Date no
20	10	0	028a8200	189	82	10	180	80958	80992	Date no
