Components List
0	1	0	09010000	0	0	240	240	1024	1532	Image/Icon
1	2	1	06870082	103	68	35	91	213131	213639	Weekday label
2	2	2	06870082	103	68	35	91	216824	217332	Weekday label
3	3	1	0d100580	120	120	10	66	59132	59178	Analog hands
4	3	2	0d100580	120	120	15	66	59838	60032	Analog hands
5	3	3	0d100580	120	120	21	65	61022	61216	Analog hands
6	3	4	0d100580	120	120	26	64	62581	62819	Analog hands
7	3	5	0d100580	120	120	32	61	64483	64653	Analog hands
8	3	6	0d100580	120	120	37	59	66605	66837	Analog hands
9	3	7	0d100580	120	120	43	55	69020	69280	Analog hands
10	3	8	0d100580	120	120	47	52	71645	71793	Analog hands
11	3	9	0d100580	120	120	52	47	74237	74387	Analog hands
12	3	10	0d100580	120	120	55	43	76831	77075	Analog hands
13	3	11	0d100580	120	120	59	37	79440	79620	Analog hands
14	3	12	0d100580	120	120	61	32	81803	82007	Analog hands
15	3	13	0d100580	120	120	64	26	83959	84157	Analog hands
16	3	14	0d100580	120	120	65	20	85821	86029	Analog hands
17	3	15	0d100580	120	120	66	14	87329	87529	Analog hands
18	3	16	0d100580	120	120	66	10	88453	88531	Analog hands
19	3	17	0d100580	120	120	10	89	89191	89237	Analog hands
20	3	18	0d100580	120	120	17	89	90127	90397	Analog hands
21	3	19	0d100580	120	120	25	88	91910	92192	Analog hands
22	3	20	0d100580	120	120	33	85	94392	94640	Analog hands
23	3	21	0d100580	120	120	41	82	97445	97619	Analog hands
24	3	22	0d100580	120	120	49	79	100981	101241	Analog hands
25	3	23	0d100580	120	120	56	74	105112	105382	Analog hands
26	3	24	0d100580	120	120	63	69	109526	109682	Analog hands
27	3	25	0d100580	120	120	69	63	114029	114257	Analog hands
28	3	26	0d100580	120	120	74	56	118604	118920	Analog hands
29	3	27	0d100580	120	120	79	49	123064	123262	Analog hands
30	3	28	0d100580	120	120	82	41	127133	127421	Analog hands
31	3	29	0d100580	120	120	85	33	130783	130999	Analog hands
32	3	30	0d100580	120	120	88	25	133804	134076	Analog hands
33	3	31	0d100580	120	120	89	17	136276	136532	Analog hands
34	3	32	0d100580	120	120	89	10	138045	138109	Analog hands
35	3	33	0d100580	120	120	10	113	138999	139031	Analog hands
36	3	34	0d100580	120	120	18	113	140161	140495	Analog hands
37	3	35	0d100580	120	120	29	111	142529	142825	Analog hands
38	3	36	0d100580	120	120	40	108	146044	146328	Analog hands
39	3	37	0d100580	120	120	50	105	150648	150814	Analog hands
40	3	38	0d100580	120	120	60	99	156064	156376	Analog hands
41	3	39	0d100580	120	120	70	93	162316	162636	Analog hands
42	3	40	0d100580	120	120	78	86	169146	169300	Analog hands
43	3	41	0d100580	120	120	86	78	176008	176276	Analog hands
44	3	42	0d100580	120	120	93	70	182984	183348	Analog hands
45	3	43	0d100580	120	120	99	60	189858	190064	Analog hands
46	3	44	0d100580	120	120	105	50	196004	196300	Analog hands
47	3	45	0d100580	120	120	108	40	201550	201796	Analog hands
48	3	46	0d100580	120	120	111	29	206116	206480	Analog hands
49	3	47	0d100580	120	120	113	18	209699	209935	Analog hands
50	3	48	0d100580	120	120	113	10	211969	212001	Analog hands
